id,host_response_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Label,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,host_tenure,is_new_host,number_of_host_verifications,Amenties Include TV,Amenties Include Air conditioning,Amenties Include Wheelchair accessible,Amenties Include Elevator,Amenties Include Washer,Amenties Include Dryer,Amenties Include Internet,Amenties Include Wifi,Amenties Include Gym,Amenties Include parking,Amenties Include Pets,Amenties Include Dishes and silverware,Amenties Include Coffee maker,Amenties Include Microwave,Amenties Include Refrigerator,offers_weekly_price,offers_monthly_price,charges_security_deposit,charges_cleaning_fee
34414240.0,100.0,1.0,1.0,0.0,6.0,1.0,3.0,3.0,349.0,200.0,100.0,3.0,25.0,5.0,1125.0,1,0,0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
34415992.0,100.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,165.0,1000.0,100.0,3.0,0.0,3.0,14.0,0,0,0,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2168.0,0,6,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34416461.0,100.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,58.0,0.0,25.0,2.0,25.0,1.0,1125.0,1,0,0,0.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
34416762.0,100.0,5.0,1.0,0.0,5.0,2.0,1.0,4.0,58.0,227.13888704649463,30.0,2.0,25.0,1.0,31.0,1,0,0,0.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34416958.0,100.0,5.0,1.0,0.0,3.0,2.0,1.0,2.0,58.0,227.13888704649463,25.0,2.0,25.0,1.0,1125.0,1,0,0,0.0,5.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34418592.0,100.0,5.0,1.0,0.0,2.0,2.0,1.0,1.0,58.0,227.13888704649463,25.0,2.0,0.0,1.0,1125.0,1,0,0,0.0,4.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34419439.0,100.0,4.0,1.0,0.0,7.0,1.0,2.0,2.0,155.0,200.0,95.0,2.0,50.0,2.0,1125.0,0,0,0,2.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,233.0,0,5,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1
34419562.0,70.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,99.0,300.0,50.0,1.0,49.0,3.0,90.0,0,0,0,0.0,2.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
34419834.0,80.0,1.0,1.0,0.0,7.0,1.5,3.0,3.0,399.0,200.0,120.0,5.0,25.0,5.0,78.0,1,0,0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,7,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
34420574.0,100.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,100.0,150.0,50.0,2.0,20.0,2.0,5.0,0,0,0,1.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,7,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
