,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country
45,4ca1fa222fb1a143995e0941,"MTA Bus Q64, QM4, QM44 (Jewel Ave/Kissena Blvd)",Jewel Ave,Kissena Blvd,40.73208821708592,-73.81529058296988,"[{'label': 'display', 'lat': 40.73208821708592, 'lng': -73.81529058296988}]",Kew Gardens Hills,46,,,,,
46,4e6e72d218380b4aac6cc36b,MTA Bus Stop - Union Tpke/173rd St (Q46),Utopia Pkwy,173rd St,40.72464440504101,-73.795372838462,"[{'label': 'display', 'lat': 40.72464440504101, 'lng': -73.795372838462}]",Kew Gardens Hills,47,,,,,
47,4c71a8c08ffc9521adb5ff63,"MTA NYCT Q20A, Q20B (Main Street/76th Avenue)",Main St,,40.72267296820732,-73.8197135925293,"[{'label': 'display', 'lat': 40.72267296820732, 'lng': -73.8197135925293}]",Kew Gardens Hills,48,,,,,
48,4c5ab6f9d3aee21e594a6b55,MTA Bus Q44/Q20 - Main Street/Jewel Ave Bus Stop,Main Street & Jewel Ave,,40.72985364649638,-73.82336343613099,"[{'label': 'display', 'lat': 40.72985364649638, 'lng': -73.82336343613099}]",Kew Gardens Hills,49,,,,,
49,4d31a9a9c75a6ea8295c06ae,Q65-Booth Memorial,Booth Memorial,164th st.,40.74179384331323,-73.80464887233944,"[{'label': 'display', 'lat': 40.74179384331323, 'lng': -73.80464887233944}]",Kew Gardens Hills,50,,,,,
0,4bd07ca0caff9521d1e3cef0,MTA SIR - Eltingville,Richmond Ave,Eltingville Blvd,40.54452181465783,-74.16505034910999,"[{'label': 'display', 'lat': 40.54452181465783, 'lng': -74.16505034910999}]",Great Kills,1,,,,,
1,4bd5364fcfa7b713958925da,MTA SIR - Bay Terrace,Justin Ave,S Railroad Ave,40.556178777906865,-74.13718817908631,"[{'label': 'display', 'lat': 40.556178777906865, 'lng': -74.13718817908631}]",Great Kills,2,,,,,
2,4b75d580f964a52011282ee3,MTA SIR - Great Kills,Giffords Ln,Brower Ct,40.55131473380848,-74.15105187019559,"[{'label': 'display', 'lat': 40.55131473380848, 'lng': -74.15105187019559}]",Great Kills,3,,,,,
3,4d4373a77e2e5481cc0c568f,MTA Bus - Hylan Bl & Nelson Av (S78/S79-SBS/X1/X4/X5/X7/X8),Hylan Blvd,at Nelson Ave,40.542548483532485,-74.14569694743906,"[{'label': 'display', 'lat': 40.542548483532485, 'lng': -74.14569694743906}]",Great Kills,4,,,,,
4,4e6dd766c65b18875f854b74,X8 Bus Stop,Leverett Ave,Armstrong Ave,40.555811,-74.160622,"[{'label': 'display', 'lat': 40.555811, 'lng': -74.160622}]",Great Kills,5,,,,,
5,4d54270c65586ea8313373c8,MTA Bus - Richmond Av & Hylan Bl (S58/S79-SBS/S89/X1/X4/X5),Richmond Ave,at Hylan Blvd,40.534446470512826,-74.15423643064462,"[{'label': 'display', 'lat': 40.534446470512826, 'lng': -74.15423643064462}]",Great Kills,6,,,,,
6,51eb2593498e394aed251585,MTA Bus - Hylan Bl & Richmond Av (S54/S59/S78/S79-SBS/S89/X1/X4/X5/X21),Hylan Blvd,at Richmond Avenue,40.53426907675715,-74.15421724319458,"[{'label': 'display', 'lat': 40.53426907675715, 'lng': -74.15421724319458}]",Great Kills,7,,,,,
7,4e1cb1dcd22dd2c50eeb7129,MTA Bus - Hylan Bl & Arden Av,Hylan Blvd,at Arden Ave,40.530241384045794,-74.15929944105115,"[{'label': 'display', 'lat': 40.530241384045794, 'lng': -74.15929944105115}]",Great Kills,8,,,,,
8,4cbca1fc43ec6dcb6f2cb231,Hylan Blvd And Currie Av Bus Stop,,,40.55764580281042,-74.12677451445053,"[{'label': 'display', 'lat': 40.55764580281042, 'lng': -74.12677451445053}]",Great Kills,9,,,,,
9,521d22b811d2b9c05738f941,Yaya And Poppy Inn,,,40.552469,-74.160893,"[{'label': 'display', 'lat': 40.552469, 'lng': -74.160893}]",Great Kills,10,,,,,
10,4d2cd857feaaa1cd3d76e390,MTA Bus - Hylan Bl & Winchester Av (S54/S78/S79-SBS/X1/X4/X5),Hylan Blvd,btwn Thornycroft & Winchester Ave,40.53552479669399,-74.15217876434326,"[{'label': 'display', 'lat': 40.53552479669399, 'lng': -74.15217876434326}]",Great Kills,11,,,,,
11,4de3b1e2e4cd056f7460c168,Jawien's Boat,,,40.530326,-74.140388,"[{'label': 'display', 'lat': 40.530326, 'lng': -74.140388}]",Great Kills,12,,,,,
12,4be1f879f348c928ab80b51f,Natalie,,,40.544287,-74.138661,"[{'label': 'display', 'lat': 40.544287, 'lng': -74.138661}]",Great Kills,13,,,,,
13,4eb2a296b80348350a225613,MTA Bus - Hylan Bl & Winchester Av (S54/S78/S79-SBS),Hylan Blvd,Thornycroft & Winchester Ave,40.5424151002431,-74.14585893895557,"[{'label': 'display', 'lat': 40.5424151002431, 'lng': -74.14585893895557}]",Great Kills,14,,,,,
14,50b76994e4b034401c0f6800,MTA Bus - Leverett Av & Doane Av (X7/X8),Leverett Ave,at Doane Ave,40.55721486628445,-74.15314435958862,"[{'label': 'display', 'lat': 40.55721486628445, 'lng': -74.15314435958862}]",Great Kills,15,,,,,
15,4c9ca19a9c48236a3b824fee,MTA Bus - Giffords La & Katan Av (S54/X7/X8),Giffords Ln,btwn Katan & Margaret Ave,40.55301273468276,-74.15118098258971,"[{'label': 'display', 'lat': 40.55301273468276, 'lng': -74.15118098258971}]",Great Kills,16,,,,,
16,50ef378de4b024b7422de2a5,MTA Bus - Hylan Bl & Guyon Av (S78/X1/X4/X5/X7/X8),Hylan Blvd,at Guyon Ave,40.56058518291912,-74.12446337765032,"[{'label': 'display', 'lat': 40.56058518291912, 'lng': -74.12446337765032}]",Great Kills,17,,,,,
17,50dfa4b2e4b028f659046647,Steep Slopez,Fieldway,,40.55006126999167,-74.14225782066322,"[{'label': 'display', 'lat': 40.55006126999167, 'lng': -74.14225782066322}]",Great Kills,18,,,,,
18,4e4bf1ea483bb8f059989b6d,Sonoco,,,40.536128997802734,-74.15167236328125,"[{'label': 'display', 'lat': 40.536128997802734, 'lng': -74.15167236328125}]",Great Kills,19,,,,,
19,4cb4a431aef16dcb1f8dd054,39 coral court,,,40.545816,-74.139911,"[{'label': 'display', 'lat': 40.545816, 'lng': -74.139911}]",Great Kills,20,,,,,
20,4e572148b61cd5f2c0dd4572,The Basement Of The Alamo,,,40.54243718132544,-74.15514812671827,"[{'label': 'display', 'lat': 40.54243718132544, 'lng': -74.15514812671827}]",Great Kills,21,,,,,
21,59ccee3e16ef676676b2af51,Indiator,Indiator,15 St Margarets Lane,40.55385888820451,-74.14877772331238,"[{'label': 'display', 'lat': 40.55385888820451, 'lng': -74.14877772331238}]",Great Kills,22,,,,,
22,4c9ca20c9c48236a78874fee,MTA Bus - Giffords La & Gurley Av (S54),Giffords Ln,btwn Fairfield & Gurley Ave,40.560922942604186,-74.15539468526674,"[{'label': 'display', 'lat': 40.560922942604186, 'lng': -74.15539468526674}]",Great Kills,23,,,,,
23,4d46af16c3e5f04d6c23b020,MTA Bus -  Hylan Bl & Keegans La (S78/X24),Hylan Blvd,at Keegans Ln,40.54974284404757,-74.1370220233017,"[{'label': 'display', 'lat': 40.54974284404757, 'lng': -74.1370220233017}]",Great Kills,24,,,,,
24,50b35456e4b0ea66e9246a38,Great Kills Ferry,Gateway Marina - Great Kills,Buffalo St & Hylan,40.54009702517654,-74.12980819659606,"[{'label': 'display', 'lat': 40.54009702517654, 'lng': -74.12980819659606}]",Great Kills,25,,,,,
